idx,population,X,Y,Z,border_distance,total_truth,total_pred,pred_over_truth,genPhotons,min_opdet_dist,pe_weighted_dist,closest_detID,max_single_opdet_pe,max_pe_detID
90,B_mid_truth_600k_1100k,20,46.703,4682.92,46.703,1.00705e+06,1.05833e+06,1.05092,10000000,25.3842,131.176,3199,335406,3199
91,B_mid_truth_600k_1100k,20,46.703,4794.52,46.703,1.03942e+06,1.07292e+06,1.03223,10000000,25.3842,130.545,3179,336486,3179
92,B_mid_truth_600k_1100k,20,46.703,4915.31,46.703,1.00457e+06,1.05771e+06,1.0529,10000000,25.3842,130.833,3159,335039,3159
93,B_mid_truth_600k_1100k,20,46.703,5026.91,46.703,1.03803e+06,1.07169e+06,1.03243,10000000,25.3842,130.263,3139,335506,3139
94,B_mid_truth_600k_1100k,20,46.703,5147.7,46.703,1.00795e+06,1.05511e+06,1.04678,10000000,25.3842,129.823,3119,336425,3119
95,B_mid_truth_600k_1100k,20,46.703,5259.3,46.703,1.03461e+06,1.06646e+06,1.03078,10000000,25.3842,128.21,3099,336100,3099
96,B_mid_truth_600k_1100k,20,46.703,5380.09,46.703,998221,1.04386e+06,1.04572,10000000,25.3842,126.248,3079,335030,3079
97,B_mid_truth_600k_1100k,20,46.703,5491.69,46.703,1.02285e+06,1.0433e+06,1.02,10000000,25.3842,122.549,3059,335879,3059
98,B_mid_truth_600k_1100k,20,46.703,5612.48,121.791,969486,1.00464e+06,1.03626,10000000,25.3842,116.29,3039,335746,3039
99,B_mid_truth_600k_1100k,20,46.703,5724.08,228.895,949140,968380,1.02027,10000000,25.3842,109.152,3019,337704,3019
100,B_mid_truth_600k_1100k,20,62.27,35.119,272.102,745725,720371,0.966001,10000000,37.0321,127.139,3999,151333,3999
101,B_mid_truth_600k_1100k,20,62.27,146.719,165.447,863352,874986,1.01348,10000000,37.0321,128.923,3979,140687,3978
102,B_mid_truth_600k_1100k,20,62.27,267.509,70.2369,865461,878148,1.01466,10000000,37.0321,138.586,3959,138954,3958
103,B_mid_truth_600k_1100k,20,62.27,379.109,62.27,908065,911530,1.00382,10000000,37.0321,141.758,3939,140376,3938
104,B_mid_truth_600k_1100k,20,62.27,499.899,62.27,881959,905029,1.02616,10000000,37.0321,146.329,3919,138540,3918
105,B_mid_truth_600k_1100k,20,62.27,611.499,62.27,916244,926937,1.01167,10000000,37.0321,147.025,3899,139587,3898
106,B_mid_truth_600k_1100k,20,62.27,732.289,62.27,884518,912151,1.03124,10000000,37.0321,149.275,3879,138977,3878
107,B_mid_truth_600k_1100k,20,62.27,843.889,62.27,919062,930468,1.01241,10000000,37.0321,148.685,3859,139977,3858
108,B_mid_truth_600k_1100k,20,62.27,964.679,62.27,884362,913811,1.0333,10000000,37.0321,149.822,3839,138732,3838
109,B_mid_truth_600k_1100k,20,62.27,1076.28,62.27,919174,931303,1.0132,10000000,37.0321,148.812,3819,139970,3818
110,B_mid_truth_600k_1100k,20,62.27,1197.07,62.27,885640,914215,1.03226,10000000,37.0321,150.219,3799,138688,3799
111,B_mid_truth_600k_1100k,20,62.27,1308.67,62.27,919512,931508,1.01305,10000000,37.0321,149.163,3779,139807,3779
112,B_mid_truth_600k_1100k,20,62.27,1429.46,62.27,885845,914312,1.03214,10000000,37.0321,150.347,3759,138690,3759
113,B_mid_truth_600k_1100k,20,62.27,5147.7,62.27,886167,910920,1.02793,10000000,37.0321,148.397,3119,139174,3118
114,B_mid_truth_600k_1100k,20,62.27,5259.3,62.27,916763,924713,1.00867,10000000,37.0321,145.986,3099,139640,3098
115,B_mid_truth_600k_1100k,20,62.27,5380.09,62.27,877553,899663,1.0252,10000000,37.0321,144.268,3079,138752,3078
116,B_mid_truth_600k_1100k,20,62.27,5491.69,62.27,902987,901494,0.998347,10000000,37.0321,139.563,3059,139958,3058
